Player Full Name,Birth Date,Year Start,Year End,Position,Height (ft 1/2),Height (inches 2/2),Height (in cm),Wingspan (in cm),Standing Reach (in cm),Hand Length (in inches),Hand Width (in inches),Weight (in lb),Body Fat (%),College
Jack McCloskey,9/19/25,1953,1953,G,6,2,188.0,,,,,190,,University of Pennsylvania
Jack McMahon,12/3/28,1953,1960,G,6,1,185.4,,,,,185,,St. John's University
Jack Molinas,10/31/31,1954,1954,F,6,6,198.1,,,,,200,,Columbia University
Jack Nichols,4/9/26,1949,1958,C-F,6,7,200.7,,,,,222,,University of Washington
Jack Parkinson,3/4/24,1950,1950,G,6,0,182.9,,,,,174,,University of Kentucky
Jack Parr,3/13/36,1959,1959,C,6,9,205.7,,,,,220,,Kansas State University
Jack Phelan,11/6/25,1950,1950,F,6,5,195.6,,,,,195,,DePaul University
Jack Rocker,8/12/22,1948,1948,C-F,6,5,195.6,,,,,185,,University of California
Jack Sikma,11/14/55,1978,1991,C-F,6,11,210.8,,,,,230,,Illinois Wesleyan University
Jack Smiley,12/22/22,1949,1950,F-G,6,3,190.5,,,,,190,,University of Illinois at Urbana-Champaign
Jack Stephens,5/18/33,1956,1956,G-F,6,3,190.5,,,,,185,,University of Notre Dame
Jack Thompson,3/26/46,1969,1969,G,6,1,185.4,,,,,185,,University of South Carolina
Jack Tingle,12/30/24,1948,1949,F,6,4,193.0,,,,,205,,University of Kentucky
Jack Toomay,8/9/22,1948,1950,C-F,6,6,198.1,,,,,215,,University of the Pacific
Jack Turner,6/29/30,1955,1955,F-G,6,4,193.0,,,,,170,,Western Kentucky University
Jack Turner,6/29/30,1962,1962,G-F,6,5,195.6,,,,,200,,University of Louisville
Jack Twyman,5/11/34,1956,1966,F-G,6,6,198.1,,,,,210,,University of Cincinnati
Jackie Butler,3/10/85,2005,2007,F-C,6,10,208.3,217.2,276.9,,,250,16.3%,
Jackie Dinkins,1/22/50,1972,1972,F,6,5,195.6,,,,,210,,Voorhees College
Jackie Moore,9/24/32,1955,1957,F,6,5,195.6,,,,,180,,La Salle University
Jackie Moreland,3/11/38,1961,1970,F-G,6,7,200.7,,,,,215,,Louisiana Tech University
Jackie Ridgle,2/13/48,1972,1972,G,6,4,193.0,,,,,195,,University of California
Jackie Robinson,5/20/55,1979,1982,F,6,6,198.1,,,,,210,,"University of Nevada, Las Vegas"
Jackson Vroman,6/6/81,2005,2006,F-C,6,10,208.3,213.4,268.0,,,220,6.7%,Iowa State University
Jacky Dorsey,12/18/54,1978,1981,F,6,7,200.7,,,,,230,,University of Georgia
Jacob Pullen,11/10/89,2018,2018,G,6,1,185.4,,,,,200,,Kansas State University
Jacob Wiley,9/4/94,2018,2018,F,6,7,200.7,,,,,215,,Eastern Washington University
Jacque Vaughn,2/11/75,1998,2009,G,6,1,185.4,,,,,190,,University of Kansas
Jae Crowder,7/6/90,2013,2018,F,6,6,198.1,206.4,252.7,9.5,10.5,235,9.0%,Marquette University
Jahidi White,2/19/76,1999,2005,F-C,6,9,205.7,,,,,290,,Georgetown University
Jahlil Okafor,12/15/95,2016,2018,C-F,6,11,210.8,,,,,275,,Duke University
JaJuan Johnson,2/8/89,2012,2012,F,6,10,208.3,218.4,273.1,9,10,221,7.5%,Purdue University
JaKarr Sampson,3/20/93,2015,2018,G-F,6,9,205.7,,,,,214,,St. John's University
Jake Bornheimer,6/29/27,1949,1950,F-C,6,5,195.6,,,,,200,,Muhlenberg College
Jake Carter,7/25/24,1950,1950,F-C,6,4,193.0,,,,,195,,East Texas State University
Jake Fendley,6/12/29,1952,1953,G,6,0,182.9,,,,,180,,Northwestern University
Jake Ford,4/29/46,1971,1972,G,6,3,190.5,,,,,180,,University of Maryland Eastern Shore
Jake Jones,5/9/49,1972,1972,G,6,3,190.5,,,,,180,,Assumption College
Jake Layman,3/7/94,2017,2018,F,6,9,205.7,206.4,259.1,8.25,9.25,210,7.1%,University of Maryland
Jake Pelkington,1/3/16,1949,1949,C-F,6,6,198.1,,,,,220,,Manhattan College
Jake Tsakalidis,6/10/79,2001,2007,C,7,2,218.4,,,,,285,,
Jake Voskuhl,11/1/77,2001,2009,C,6,11,210.8,,,,,245,,University of Connecticut
Jake Weber,3/18/18,1947,1947,C,6,6,198.1,,,,,225,,Purdue University
Jakob Poeltl,10/15/95,2017,2018,C,7,0,213.4,220.3,283.2,9.25,10.25,248,5.8%,University of Utah
Jalen Jones,5/27/93,2018,2018,G,6,7,200.7,,,,,223,,Texas A&M University
Jalen Rose,1/30/73,1995,2007,G-F,6,8,203.2,,,,,210,,University of Michigan
Jamaal Franklin,7/21/91,2014,2015,G,6,5,195.6,211.5,262.9,8.5,8.25,191,8.3%,San Diego State University
Jamaal Magloire,5/21/78,2001,2012,C,6,11,210.8,,,,,259,,University of Kentucky
Jamaal Tinsley,2/28/78,2002,2014,G,6,3,190.5,201.9,247.7,,,195,13.6%,Iowa State University
Jamaal Wilkes,5/2/53,1975,1986,F-G,6,6,198.1,,,,,190,,"University of California, Los Angeles"
Jamal Crawford,3/20/80,2001,2018,G,6,5,195.6,208.3,260.4,,,200,,University of Michigan
Jamal Mashburn,11/29/72,1994,2004,F,6,8,203.2,,,,,240,,University of Kentucky
Jamal Murray,2/23/97,2017,2018,G,6,4,193.0,,,,,207,,University of Kentucky
Jamal Robinson,12/27/73,2001,2001,F,6,7,200.7,,,,,212,,University of Virginia
Jamal Sampson,5/15/83,2003,2007,F-C,6,11,210.8,,,,,235,,University of California
Jamario Moon,6/13/80,2008,2012,F,6,8,203.2,212.1,261.6,,,205,5.3%,Meridian Community College
Jameer Nelson,2/9/82,2005,2018,G,6,0,182.9,189.2,241.3,,,190,8.0%,Saint Joseph's University
Jamel Artis,1/12/93,2018,2018,G-F,6,7,200.7,208.3,266.7,9.25,9.75,213,11.9%,University of Pittsburgh
Jamel Thomas,3/25/73,2000,2001,F,6,6,198.1,,,,,215,,Providence College
James Anderson,3/25/89,2011,2016,G-F,6,6,198.1,204.5,264.2,8.5,7.25,213,7.9%,Oklahoma State University
James Augustine,2/27/84,2007,2008,F,6,10,208.3,214.0,264.2,,,235,5.5%,University of Illinois at Urbana-Champaign
James Bailey,5/21/57,1980,1988,F-C,6,9,205.7,,,,,220,,Rutgers University
James Blackwell,2/25/68,1995,1995,G,6,0,182.9,,,,,190,,Dartmouth College
James Collins,11/5/73,1998,1998,G,6,4,193.0,,,,,196,,Florida State University
James Cotton,12/14/75,1998,1999,G,6,5,195.6,,,,,220,,"California State University, Long Beach"
James Donaldson,8/16/57,1981,1995,C,7,2,218.4,,,,,275,,Washington State University
James Edwards,11/22/55,1978,1996,C-F,7,0,213.4,,,,,225,,University of Washington
James Ennis,7/1/90,2015,2018,F,6,7,200.7,212.1,265.4,8.5,8.75,210,4.5%,"California State University, Long Beach"
James Harden,8/26/89,2010,2018,G,6,5,195.6,210.2,262.9,,,220,10.1%,Arizona State University
James Hardy,12/1/56,1979,1982,F-C,6,8,203.2,,,,,220,,University of San Francisco
James Johnson,2/20/87,2010,2018,F,6,9,205.7,215.3,268.0,,,250,12.0%,Wake Forest University
James Jones,10/4/80,2004,2017,F-G,6,8,203.2,219.7,273.1,,,218,6.7%,University of Miami
James Lang,10/17/83,2007,2007,C,6,10,208.3,229.2,279.4,,,285,21.4%,
James Michael McAdoo,1/4/93,2015,2018,F,6,9,205.7,,,,,230,,University of North Carolina
James Nunnally,7/14/90,2014,2014,F,6,7,200.7,,,,,205,,"University of California, Santa Barbara"
James Phelan,3/19/29,1954,1954,G,6,1,185.4,,,,,175,,La Salle University
James Posey,1/13/77,2000,2011,F-G,6,8,203.2,,,,,215,,Xavier University
James Ray,7/27/57,1981,1983,F,6,8,203.2,,,,,215,,Jacksonville University
James Robinson,8/31/70,1994,2001,G,6,2,188.0,,,,,180,,University of Alabama
James Scott,6/6/72,1997,1997,F,6,6,198.1,,,,,180,,St. John's University
James Silas,2/11/49,1973,1982,G,6,1,185.4,,,,,180,,Stephen F. Austin State University
James Singleton,7/20/81,2006,2012,F,6,8,203.2,,,,,216,,Murray State University
James Southerland,4/28/90,2014,2014,F,6,8,203.2,215.9,269.2,8,9.5,215,8.1%,Syracuse University
James Thomas,11/22/80,2005,2006,F,6,8,203.2,,,,,235,,University of Texas at Austin
James White,10/21/82,2007,2013,G-F,6,7,200.7,,,,,200,,University of Cincinnati
James Wilkes,4/1/58,1981,1983,F,6,7,200.7,,,,,195,,"University of California, Los Angeles"
James Worthy,2/27/61,1983,1994,F,6,9,205.7,,,,,225,,University of North Carolina
James Young,8/16/95,2015,2017,G-F,6,6,198.1,213.4,264.2,9,9.5,215,5.1%,University of Kentucky
JamesOn Curry,1/7/86,2010,2010,G,6,3,190.5,,,,,190,,Oklahoma State University
Jamie Feick,7/3/74,1997,2001,C,6,9,205.7,,,,,255,,Michigan State University
Jamie Waller,11/20/64,1988,1988,G,6,4,193.0,,,,,215,,Virginia Union University
Jamie Watson,2/23/72,1995,1999,F,6,7,200.7,,,,,190,,University of South Carolina
Jamil Wilson,11/21/90,2018,2018,F,6,7,200.7,,,,,230,,Marquette University
Jamison Brewer,11/19/80,2002,2005,G,6,4,193.0,205.1,260.4,,,184,6.7%,Auburn University
JaMychal Green,6/21/90,2015,2018,F,6,9,205.7,219.1,270.5,9.25,9.25,227,9.8%,University of Alabama
Jan Van Breda Kolff,12/16/51,1975,1983,F-G,6,7,200.7,,,,,195,,Vanderbilt University
Jan Vesely,4/24/90,2012,2014,F,6,11,210.8,,,,,240,,
Jannero Pargo,10/22/79,2003,2015,G,6,1,185.4,189.2,243.8,,,175,,University of Arkansas
Jared Cunningham,5/22/91,2013,2016,G,6,4,193.0,199.4,248.9,8.25,9,195,3.6%,Oregon State University
Jared Dudley,7/10/85,2008,2018,F-G,6,7,200.7,200.7,259.1,,,225,7.1%,Boston College
Jared Jeffries,11/25/81,2003,2013,F,6,11,210.8,214.6,276.9,,,230,,Indiana University
Jared Reiner,4/8/82,2005,2007,C,6,11,210.8,214.6,276.9,,,255,12.9%,University of Iowa
Jared Sullinger,3/4/92,2013,2017,F,6,9,205.7,216.5,268.0,9.25,9.75,260,10.7%,Ohio State University
Jarell Eddie,10/30/91,2016,2017,G-F,6,7,200.7,,,,,218,,Virginia Polytechnic Institute and State University
Jarell Martin,5/24/94,2016,2018,F,6,10,208.3,205.7,270.5,8.25,9.5,239,10.1%,Louisiana State University
Jaren Jackson,10/27/67,1990,2002,G-F,6,4,193.0,,,,,190,,Georgetown University
Jarnell Stokes,1/7/94,2015,2017,F-C,6,9,205.7,216.5,262.9,9.75,10.5,263,8.2%,University of Tennessee
Jarrett Allen,4/21/98,2018,2018,F-C,6,10,208.3,226.7,278.1,9.5,10.5,234,7.4%,University of Texas at Austin
Jarrett Durham,8/22/49,1972,1972,F,6,5,195.6,,,,,188,,Duquesne University
Jarrett Jack,10/28/83,2006,2018,G,6,3,190.5,201.9,254.0,,,200,,Georgia Institute of Technology
Jarrod Uthoff,5/19/93,2017,2017,F,6,9,205.7,212.1,264.2,8.75,9,221,6.0%,University of Iowa
Jarron Collins,12/2/78,2002,2011,F-C,6,11,210.8,221.0,264.2,,,255,15.2%,Stanford University
Jarvis Hayes,8/9/81,2004,2010,F,6,7,200.7,,,,,220,,University of Georgia
Jarvis Varnado,3/1/88,2013,2014,F,6,9,205.7,222.3,278.1,9.25,9.5,230,9.5%,Mississippi State University
Jason Caffey,6/12/73,1996,2003,F,6,8,203.2,,,,,255,,University of Alabama
Jason Collier,9/8/77,2001,2005,C,7,0,213.4,,,,,260,,Georgia Institute of Technology
Jason Collins,12/2/78,2002,2014,C,7,0,213.4,224.8,279.4,,,255,12.9%,Stanford University
Jason Hart,4/29/78,2001,2010,G,6,3,190.5,198.1,247.7,,,185,,Syracuse University
Jason Kapono,2/4/81,2004,2012,F,6,8,203.2,199.4,259.1,,,213,11.7%,"University of California, Los Angeles"
Jason Kidd,3/23/73,1995,2013,G,6,4,193.0,,,,,205,,University of California
Jason Lawson,9/2/74,1998,1998,C,6,11,210.8,,,,,240,,Villanova University
Jason Maxiell,2/18/83,2006,2015,F,6,7,200.7,221.6,271.8,,,260,,University of Cincinnati
Jason Miskiri,8/19/75,2000,2000,G,6,2,188.0,,,,,175,,George Mason University
Jason Richardson,1/20/81,2002,2015,G,6,6,198.1,212.1,260.4,,,220,5.3%,Michigan State University
Jason Sasser,1/13/74,1997,1999,F,6,7,200.7,,,,,225,,Texas Tech University
Jason Smith,3/2/86,2008,2018,F-C,7,0,213.4,210.2,269.2,,,245,7.5%,Colorado State University
Jason Terry,9/15/77,2000,2018,G,6,2,188.0,,,,,185,,University of Arizona
Jason Thompson,7/21/86,2009,2016,F-C,6,11,210.8,,,,,250,,Rider University
Jason Williams,11/18/75,1999,2011,G,6,1,185.4,,,,,190,,University of Florida
Jasper Wilson,7/12/47,1969,1970,F,6,6,198.1,,,,,200,,Southern University and A&M College
JaVale McGee,1/19/88,2009,2018,C,7,0,213.4,228.6,290.8,,,270,5.3%,"University of Nevada, Reno"
Javaris Crittenton,12/31/87,2008,2009,G,6,5,195.6,196.9,248.9,,,200,4.5%,Georgia Institute of Technology
Jawad Williams,2/19/83,2009,2011,F,6,9,205.7,216.5,270.5,,,218,,University of North Carolina
Jawann Oldham,7/4/57,1981,1991,C,7,0,213.4,,,,,215,,Seattle University
Jawun Evans,7/26/96,2018,2018,G,6,0,182.9,196.9,241.3,8,7.75,185,9.1%,Oklahoma State University
Jay Arnette,12/19/38,1964,1966,G,6,2,188.0,,,,,175,,University of Texas at Austin
Jay Carty,7/4/41,1969,1969,F,6,8,203.2,,,,,220,,Oregon State University
Jay Edwards,1/3/69,1990,1990,G,6,4,193.0,,,,,185,,Indiana University
Jay Guidinger,8/18/69,1993,1994,C,6,10,208.3,,,,,255,,University of Minnesota Duluth
Jay Humphries,10/17/62,1985,1995,G,6,3,190.5,,,,,185,,University of Colorado
Jay Miller,7/19/43,1968,1971,F,6,5,195.6,,,,,205,,University of Notre Dame
Jay Murphy,6/26/62,1985,1988,F,6,9,205.7,,,,,220,,Boston College
Jay Taylor,10/3/67,1990,1990,G,6,3,190.5,,,,,190,,Eastern Illinois University
Jay Vincent,6/10/59,1982,1990,F,6,7,200.7,,,,,220,,Michigan State University
Jay Williams,9/10/81,2003,2003,G,6,2,188.0,191.8,246.4,,,195,,Duke University
Jaylen Brown,10/24/96,2017,2018,F-G,6,7,200.7,212.7,260.4,8.75,9,225,5.1%,University of California
Jayson Tatum,3/3/98,2018,2018,F,6,8,203.2,,,,,205,,Duke University
Jayson Williams,2/22/68,1991,1999,F-C,6,9,205.7,,,,,240,,St. John's University
Jeff Adrien,2/10/86,2011,2015,F,6,7,200.7,218.4,273.1,,,245,7.9%,University of Connecticut
Jeff Ayres,4/29/87,2010,2016,F,6,9,205.7,215.9,271.8,,,240,5.5%,Arizona State University
Jeff Cook,10/21/56,1980,1988,F-C,6,10,208.3,,,,,215,,Idaho State University
Jeff Cross,9/1/61,1986,1986,F,6,10,208.3,,,,,240,,University of Maine
Jeff Foote,7/14/87,2012,2012,C,7,0,213.4,,,,,265,,Cornell University
Jeff Foster,1/16/77,2000,2012,F-C,6,11,210.8,,,,,236,,Texas State University
Jeff Grayer,12/17/65,1989,1998,F-G,6,5,195.6,,,,,200,,Iowa State University
Jeff Green,8/28/86,2008,2018,F,6,9,205.7,216.5,261.6,,,235,3.7%,Georgetown University
Jeff Halliburton,7/3/49,1972,1973,G,6,5,195.6,,,,,193,,Drake University
Jeff Hornacek,5/3/63,1987,2000,G,6,3,190.5,,,,,190,,Iowa State University
Jeff Judkins,3/23/56,1979,1983,G-F,6,6,198.1,,,,,185,,University of Utah
Jeff Lamp,3/9/59,1982,1989,F-G,6,6,198.1,,,,,195,,University of Virginia
Jeff Lebo,10/5/66,1990,1990,G,6,2,188.0,,,,,180,,University of North Carolina
Jeff Malone,6/28/61,1984,1996,G,6,4,193.0,,,,,205,,Mississippi State University
Jeff Martin,1/14/67,1990,1991,G,6,5,195.6,,,,,195,,Murray State University
Jeff McInnis,10/22/74,1997,2008,G,6,4,193.0,,,,,190,,University of North Carolina
Jeff Mullins,3/18/42,1965,1976,G-F,6,4,193.0,,,,,190,,Duke University
Jeff Nordgaard,2/23/73,1998,1998,F,6,7,200.7,,,,,225,,University of Wisconsin-Green Bay
Jeff Ruland,12/16/58,1982,1993,C-F,6,10,208.3,,,,,240,,Iona College
Jeff Sanders,1/14/66,1990,1993,F,6,8,203.2,,,,,225,,Georgia Southern University
Jeff Slade,3/1/41,1963,1963,F,6,6,198.1,,,,,220,,Kenyon College
Jeff Taylor,1/1/60,1983,1987,G,6,4,193.0,198.8,257.8,8.25,9.75,175,4.2%,Texas Tech University
Jeff Teague,6/10/88,2010,2018,G,6,2,188.0,201.9,250.2,,,186,4.5%,Wake Forest University
Jeff Trepagnier,7/11/79,2002,2004,G,6,4,193.0,,,,,200,,University of Southern California
Jeff Turner,4/9/62,1985,1996,F-C,6,9,205.7,,,,,230,,Vanderbilt University
Jeff Webb,7/6/48,1971,1972,G,6,4,193.0,,,,,170,,Kansas State University
Jeff Webster,2/19/71,1996,1996,F,6,8,203.2,,,,,232,,University of Oklahoma
Jeff Wilkins,3/9/55,1981,1986,C-F,6,11,210.8,,,,,230,,Illinois State University
Jeff Withey,3/7/90,2014,2018,C,7,0,213.4,218.4,280.7,9,9.75,231,8.7%,University of Kansas
Jeffery Taylor,5/23/89,2013,2015,F,6,7,200.7,,,,,225,,Vanderbilt University
Jeffrey Congdon,10/17/43,1968,1972,G,6,1,185.4,,,,,180,,Brigham Young University
Jeffrey Sheppard,9/29/74,1999,1999,G,6,3,190.5,,,,,190,,University of Kentucky
Jelani McCoy,12/6/77,1999,2008,C,6,10,208.3,,,,,245,,"University of California, Los Angeles"
Jerald Honeycutt,10/20/74,1998,1999,F-G,6,9,205.7,,,,,245,,Tulane University
Jerami Grant,3/12/94,2015,2018,F,6,8,203.2,220.3,271.8,9.25,9.25,210,3.8%,Syracuse University
Jerel McNeal,6/1/87,2015,2015,G,6,3,190.5,201.3,252.7,,,200,5.4%,Marquette University
Jeremy Evans,10/24/87,2011,2016,F,6,9,205.7,,,,,200,,Western Kentucky University
Jeremy Lamb,5/30/92,2013,2018,G-F,6,5,195.6,210.8,259.1,8.75,9.25,185,4.5%,University of Connecticut
Jeremy Lin,8/23/88,2011,2018,G,6,3,190.5,,,,,200,,Harvard University
Jeremy Pargo,3/17/86,2012,2013,G,6,2,188.0,195.6,243.8,,,219,7.6%,Gonzaga University
Jeremy Richardson,2/11/84,2007,2009,G-F,6,6,198.1,,,,,185,,Delta State University
Jeremy Tyler,6/21/91,2012,2014,C,6,10,208.3,226.1,280.7,9.25,9,260,13.4%,
Jerian Grant,10/9/92,2016,2018,G,6,4,193.0,201.9,254.0,8.25,8.5,195,5.6%,University of Notre Dame
Jermaine Jackson,6/7/76,2000,2006,G,6,4,193.0,,,,,204,,University of Detroit Mercy
Jermaine O'Neal,10/13/78,1997,2014,F-C,6,11,210.8,,,,,226,,
Jermaine Taylor,12/8/86,2010,2011,G,6,4,193.0,205.1,256.5,,,210,5.8%,University of Central Florida
Jermareo Davidson,11/15/84,2008,2009,F,6,10,208.3,223.5,278.1,,,230,6.9%,University of Alabama
Jerome Allen,1/28/73,1996,1997,G,6,4,193.0,,,,,184,,University of Pennsylvania
Jerome Anderson,10/9/53,1976,1977,G,6,5,195.6,,,,,195,,West Virginia University
Jerome Beasley,5/17/80,2004,2004,F,6,10,208.3,214.6,271.8,,,237,9.9%,University of North Dakota
Jerome Dyson,5/1/87,2012,2012,G,6,3,190.5,,,,,180,,University of Connecticut
Jerome Harmon,2/6/69,1995,1995,G,6,4,193.0,,,,,190,,University of Louisville
Jerome Henderson,10/5/59,1986,1987,C-F,6,11,210.8,,,,,230,,University of New Mexico
Jerome James,11/17/75,1999,2009,C,7,0,213.4,,,,,300,,Florida Agricultural and Mechanical University
Jerome Jordan,9/29/86,2012,2015,C,7,0,213.4,226.7,287.0,9,10.25,253,6.9%,University of Tulsa
Jerome Kersey,6/26/62,1985,2001,F,6,7,200.7,,,,,215,,Longwood University
Jerome Lane,12/4/66,1989,1993,F,6,6,198.1,,,,,230,,University of Pittsburgh
Jerome Moiso,6/15/78,2001,2005,F-C,6,10,208.3,,,,,235,,"University of California, Los Angeles"
Jerome Whitehead,9/30/56,1979,1989,C-F,6,10,208.3,,,,,220,,Marquette University
Jerome Williams,5/10/73,1997,2005,F,6,9,205.7,,,,,206,,Georgetown University
Jerrelle Benimon,8/1/91,2015,2015,F,6,8,203.2,,,,,245,,Towson University
Jerrod Mustaf,10/28/69,1991,1994,F-C,6,10,208.3,,,,,238,,University of Maryland
Jerry Baskerville,11/10/51,1976,1976,F,6,7,200.7,,,,,190,,Temple University
Jerry Bird,2/2/35,1959,1959,F,6,6,198.1,,,,,210,,University of Kentucky
Jerry Chambers,7/18/43,1967,1974,F,6,5,195.6,,,,,185,,University of Utah
Jerry Dover,10/16/49,1972,1972,G,5,7,170.2,,,,,155,,LeMoyne-Owen College
Jerry Eaves,2/8/59,1983,1987,G,6,4,193.0,,,,,180,,University of Louisville
Jerry Fleishman,2/14/22,1947,1953,G-F,6,2,188.0,,,,,190,,New York University
Jerry Fowler,6/20/27,1952,1952,C,6,8,203.2,,,,,230,,University of Missouri
Jerry Greenspan,11/22/41,1964,1965,F,6,5,195.6,,,,,195,,University of Maryland
Jerry Grote,12/28/40,1965,1965,G,6,4,193.0,,,,,215,,Loyola Marymount University
Jerry Harkness,5/7/40,1964,1969,G,6,2,188.0,,,,,175,,Loyola University of Chicago
Jerry Kelly,6/14/18,1947,1948,F,6,2,188.0,,,,,172,,Marshall University
Jerry Lucas,3/30/40,1964,1974,F-C,6,8,203.2,,,,,230,,Ohio State University
Jerry McKee,8/4/46,1970,1970,G,6,3,190.5,,,,,190,,Ohio University
Jerry Nagel,5/18/28,1950,1950,G,6,0,182.9,,,,,190,,Loyola University of Chicago
Jerry Paulson,7/21/35,1958,1958,G,6,2,188.0,,,,,185,,Manhattan College
Jerry Pender,2/12/50,1974,1974,G,6,2,188.0,,,,,185,,"California State University, Fresno"
Jerry Pettway,2/13/44,1968,1969,G-F,6,3,190.5,,,,,185,,Northwood Institute
Jerry Reynolds,12/23/62,1986,1996,G-F,6,8,203.2,,,,,200,,Louisiana State University
Jerry Rook,10/27/43,1970,1970,F,6,5,195.6,,,,,219,,Arkansas State University
Jerry Rullo,6/23/23,1947,1950,G,5,10,177.8,,,,,165,,Temple University
Jerry Sichting,11/29/56,1981,1990,G,6,1,185.4,,,,,168,,Purdue University
Jerry Sloan,3/28/42,1966,1976,G-F,6,5,195.6,,,,,195,,University of Evansville
Jerry Smith,9/26/87,2012,2012,G,6,2,188.0,,,,,190,,University of Louisville
Jerry Stackhouse,11/5/74,1996,2013,G-F,6,6,198.1,,,,,218,,University of North Carolina
Jerry West,5/28/38,1961,1974,G,6,2,188.0,,,,,175,,West Virginia University
Jerryd Bayless,8/20/88,2009,2018,G,6,3,190.5,191.8,246.4,,,200,4.7%,University of Arizona
Jeryl Sasser,2/13/79,2002,2003,G,6,6,198.1,209.6,262.9,,,200,6.7%,Southern Methodist University
Jesse Arnelle,12/30/33,1956,1956,F,6,5,195.6,,,,,220,,Pennsylvania State University
Jesse Branson,1/7/42,1966,1968,F,6,7,200.7,,,,,195,,Elon University
Jesse Dark,9/2/51,1975,1975,G,6,5,195.6,,,,,210,,Virginia Commonwealth University
Jim Ard,9/19/48,1971,1978,F-C,6,8,203.2,,,,,215,,University of Cincinnati
Jim Baechtold,12/9/27,1953,1957,F-G,6,4,193.0,,,,,205,,Eastern Kentucky University
Jim Barnes,4/13/41,1965,1971,C-F,6,8,203.2,,,,,210,,University of Texas at El Paso
Jim Barnett,7/7/44,1967,1977,G-F,6,4,193.0,,,,,170,,University of Oregon
Jim Bostic,1/28/53,1978,1978,F,6,7,200.7,,,,,225,,New Mexico State University
Jim Bradley,3/16/52,1974,1976,F,6,8,203.2,,,,,215,,Northern Illinois University
Jim Brasco,2/3/31,1953,1953,G,6,1,185.4,,,,,170,,New York University
Jim Brewer,12/3/51,1974,1982,F-C,6,9,205.7,,,,,210,,University of Minnesota
Jim Brogan,2/24/58,1982,1983,G,6,4,193.0,,,,,185,,West Virginia Wesleyan College
Jim Browne,1/1/30,1949,1950,C,6,10,208.3,,,,,235,,
Jim Burns,9/21/45,1968,1968,G,6,3,190.5,,,,,195,,Northwestern University
Jim Caldwell,1/28/43,1968,1969,C,6,10,208.3,,,,,240,,Georgia Institute of Technology
Jim Chones,11/30/49,1973,1982,C-F,6,11,210.8,,,,,220,,Marquette University
Jim Cleamons,9/13/49,1972,1980,G,6,3,190.5,,,,,185,,Ohio State University
Jim Creighton,4/18/50,1976,1976,F,6,8,203.2,,,,,200,,University of Colorado
Jim Davis,12/18/41,1968,1975,C-F,6,9,205.7,,,,,225,,University of Colorado
Jim Eakins,5/24/46,1969,1978,C,6,11,210.8,,,,,215,,Brigham Young University
Jim Farmer,9/23/64,1988,1994,G,6,4,193.0,,,,,190,,University of Alabama
Jim Fox,4/7/43,1968,1977,C-F,6,10,208.3,,,,,230,,University of South Carolina
Jim Fritsche,12/10/31,1954,1955,F-C,6,8,203.2,,,,,210,,Hamline University
Jim Garvin,2/5/50,1974,1974,F,6,7,200.7,,,,,200,,Boston University
Jim Grandholm,10/4/60,1991,1991,F-C,7,0,213.4,,,,,235,,University of South Florida
Jim Hadnot,1/15/40,1968,1968,C-F,6,10,208.3,,,,,235,,Providence College
Jim Hayes,2/18/48,1971,1971,G,6,3,190.5,,,,,200,,Boston University
Jim Holstein,9/24/30,1953,1956,F-G,6,3,190.5,,,,,180,,University of Cincinnati
Jim Jackson,10/14/70,1993,2006,G,6,6,198.1,,,,,220,,Ohio State University
Jim Jarvis,3/3/43,1968,1969,G,6,1,185.4,,,,,175,,Oregon State University
Jim Johnstone,9/20/60,1983,1983,C-F,6,11,210.8,,,,,245,,Wake Forest University
Jim King,2/7/41,1964,1973,G,6,2,188.0,,,,,175,,University of Tulsa
Jim Kissane,8/17/46,1969,1969,F,6,7,200.7,,,,,210,,Boston College
Jim Krebs,9/8/35,1958,1964,C-F,6,8,203.2,,,,,230,,Southern Methodist University
Jim Lampley,7/2/60,1987,1987,C,6,10,208.3,,,,,230,,University of Arkansas at Little Rock
Jim Les,8/18/63,1989,1995,G,5,11,180.3,,,,,165,,Bradley University
Jim Loscutoff,2/4/30,1956,1964,F,6,5,195.6,,,,,220,,University of Oregon
Jim Luisi,11/2/28,1954,1954,G,6,2,188.0,,,,,180,,St. Francis College
Jim Marsh,4/26/46,1972,1972,F,6,7,200.7,,,,,215,,University of Southern California
Jim McDaniels,4/2/48,1972,1978,C-F,6,11,210.8,,,,,228,,Western Kentucky University
Jim McElroy,10/4/53,1976,1982,G,6,3,190.5,,,,,190,,Central Michigan University
Jim McIlvaine,7/30/72,1995,2001,C,7,1,215.9,,,,,240,,Marquette University
Jim McMillian,3/11/48,1971,1979,F,6,5,195.6,,,,,215,,Columbia University
Jim Mooney,7/8/30,1953,1953,F,6,5,195.6,,,,,215,,Villanova University
Jim Neal,5/21/30,1954,1955,C,6,11,210.8,,,,,235,,Wofford College
Jim Nolan,6/9/27,1950,1950,C,6,8,203.2,,,,,210,,Georgia Institute of Technology
Jim O'Brien,11/7/51,1974,1975,F,6,7,200.7,,,,,200,,University of Maryland
Jim Owens,5/1/50,1974,1975,F,6,5,195.6,,,,,200,,Arizona State University
Jim Palmer,6/8/33,1959,1961,F-C,6,8,203.2,,,,,224,,University of Dayton
Jim Paxson,12/19/32,1957,1958,F-G,6,6,198.1,,,,,200,,University of Dayton
