Year,Body,Injury,Severity,Position,Height (in cm),Wingspan (in cm),Standing Reach (in cm),Weight (in lb),Body Fat (%),Age,EndSeasonYear,Minutes,USG%,Games_Played,Fouls,Turnovers,Points,FT,3P,Steals,Assists,Offensive_Reb,Defensive_Reb
2014,back,injury,dnp,G,190.5,,,195.0,,40,2014,32.54,17.8,50.0,1.4,2.52,12.72,2.14,1.14,0.6,6.66,0.52,2.32
2019,ankle,sprained,dtd,G,193.0,203.2,250.2,185.0,5.7%,24,2019,28.568181818181817,21.8,44.0,2.2045454545454546,2.590909090909091,13.022727272727273,1.6363636363636365,0.5681818181818182,1.4545454545454546,6.25,1.068181818181818,2.8863636363636362
2018,ankle,sore,dtd,C-F,213.4,,,250.0,,23,2018,25.35483870967742,36.0,31.0,3.6129032258064515,3.774193548387097,20.225806451612907,6.161290322580645,1.1612903225806452,0.8709677419354839,2.129032258064516,1.9677419354838708,5.870967741935482
2012,groin,sore,dnp,G,190.5,204.5,251.5,200.0,5.3%,28,2012,25.98780487804878,21.5,82.0,2.1707317073170733,1.7195121951219512,11.231707317073171,1.6585365853658536,1.304878048780488,0.5853658536585366,2.0853658536585367,0.5,1.8780487804878048
2012,knee,sore,dnp,F-G,200.7,206.4,261.6,190.0,5.3%,-51,2012,20.325,18.7,80.0,1.55,0.7125,9.225,1.25,1.275,0.35,1.5125,0.5625,2.1375
2012,ankle,sprained,dtd,C,213.4,212.7,280.7,265.0,16.3%,29,2012,26.1875,24.4,32.0,2.34375,1.8125,12.40625,1.34375,0.0,0.5,1.4375,1.59375,5.4375
2020,back,sore,dtd,F-G,203.2,201.9,257.8,236.0,5.4%,30,2020,36.1,23.0,10.0,1.8,1.4,21.3,4.8,1.7,2.4,4.3,1.6,3.6
2016,foot,sprained,dtd,G,180.3,184.8,240.0,195.0,6.6%,28,2016,35.53333333333333,20.6,75.0,1.7066666666666668,2.466666666666667,15.24,3.533333333333333,0.9333333333333332,1.2266666666666666,9.6,0.56,2.56
2014,back,spasms,dtd,F,203.2,213.4,268.0,240.0,8.0%,30,2015,38.72727272727273,32.4,77.0,2.9090909090909087,2.5714285714285716,27.42857142857143,5.9610389610389625,2.168831168831169,1.2337662337662338,3.1428571428571432,1.8831168831168832,6.1948051948051965
2013,back,sore,dnp,C,213.4,212.7,280.7,265.0,16.3%,31,2014,20.651515151515152,25.3,66.0,2.136363636363636,1.5606060606060606,10.5,1.0151515151515151,0.0,0.4393939393939394,0.7727272727272727,1.4696969696969695,4.166666666666667
2011,groin,strained,dtd,F,208.3,211.5,269.2,251.0,12.9%,22,2011,28.566666666666666,22.4,60.0,2.2666666666666666,1.95,14.033333333333333,3.75,0.5833333333333334,0.7166666666666667,2.2666666666666666,3.783333333333333,7.183333333333334
2011,knee,sore,dnp,F,205.7,221.0,274.3,215.0,5.6%,24,2011,23.37931034482759,19.6,29.0,2.2068965517241383,1.7931034482758617,8.827586206896553,2.0,0.0,1.3793103448275863,1.1379310344827591,1.4482758620689655,4.862068965517241
2011,groin,strained,dnp,F,208.3,211.5,269.2,251.0,12.9%,22,2011,28.566666666666666,22.4,60.0,2.2666666666666666,1.95,14.033333333333333,3.75,0.5833333333333334,0.7166666666666667,2.2666666666666666,3.783333333333333,7.183333333333334
2017,ankle,sore,dtd,G-F,203.2,204.5,261.6,206.0,7.5%,25,2018,27.0,22.9,59.0,2.23728813559322,1.1016949152542372,12.677966101694913,1.5254237288135593,1.9322033898305084,0.6440677966101694,1.6271186440677967,0.2711864406779661,3.1525423728813564
2012,hamstring,sore,dnp,F-G,203.2,,,218.0,,33,2012,35.8955223880597,27.4,67.0,2.4029850746268657,3.1194029850746268,18.507462686567163,3.7164179104477615,1.805970149253732,1.1940298507462686,3.5970149253731343,0.7910447761194029,3.7462686567164174
2014,ankle,sprained,dnp,F,203.2,207.6,269.2,228.0,7.3%,26,2014,18.479166666666668,14.5,48.0,1.9791666666666667,0.6458333333333334,5.333333333333333,0.8333333333333334,0.0,0.6666666666666666,0.8333333333333334,2.0416666666666665,2.9375
2013,foot,strained,dnp,C-F,210.8,,,220.0,,38,2013,22.35,11.5,40.0,2.2,1.175,3.8,0.45,0.0,0.825,1.875,2.625,6.225
2019,hamstring,strained,indefinitely,C,215.9,,,255.0,,34,2020,33.735849056603776,22.3,53.0,2.7735849056603774,2.2452830188679247,15.735849056603776,2.8679245283018866,1.4339622641509433,1.1320754716981132,4.679245283018868,1.0566037735849056,7.528301886792453
2015,foot,bruised,dtd,F-C,208.3,,,245.0,,36,2015,19.38888888888889,13.8,72.0,2.25,0.7361111111111112,6.625,1.6666666666666667,0.041666666666666664,0.4444444444444444,0.2638888888888889,1.7916666666666667,3.4722222222222223
2018,hamstring,sore,dtd,F,200.7,213.4,265.4,232.0,7.0%,24,2018,29.0,14.6,81.0,2.308641975308642,0.6913580246913579,9.17283950617284,1.8765432098765435,0.012345679012345678,1.0,1.4074074074074074,1.9259259259259256,5.049382716049383
2019,knee,sore,dtd,F,208.3,211.5,266.7,251.0,8.2%,30,2020,34.96,30.2,75.0,2.6533333333333333,3.373333333333333,24.54666666666667,5.52,2.52,0.6933333333333334,5.36,1.3333333333333333,6.2
2012,hamstring,sore,dnp,G,195.6,201.3,255.3,210.0,6.1%,25,2012,31.185714285714287,24.5,70.0,2.5285714285714285,2.2142857142857144,15.457142857142856,4.714285714285714,0.3714285714285713,1.0857142857142856,5.1571428571428575,1.0,2.085714285714286
2013,foot,injury,dnp,G,193.0,198.1,250.2,190.0,5.3%,32,2013,25.77083333333333,13.9,48.0,2.083333333333333,1.2083333333333333,6.583333333333332,0.5208333333333334,0.9791666666666666,0.7916666666666666,2.75,0.22916666666666666,1.875
2011,knee,sprained,dtd,F,205.7,213.4,270.5,225.0,6.7%,25,2011,35.444444444444436,22.2,81.0,2.962962962962963,2.4444444444444446,15.666666666666664,3.2222222222222223,0.0,1.6049382716049383,4.2222222222222205,2.7530864197530858,5.950617283950617
2018,back,sore,dtd,C,215.9,222.3,0.0,260.0,6.4%,25,2019,20.217391304347824,17.0,69.0,2.289855072463768,1.1304347826086956,8.507246376811594,2.289855072463768,0.014492753623188406,0.39130434782608703,1.1884057971014492,2.5362318840579707,4.971014492753623
2017,knee,torn,season,F,200.7,213.4,270.5,225.0,,-24,2017,15.666666666666664,22.9,30.0,1.7,1.2666666666666666,7.133333333333334,1.3333333333333333,0.0,0.4,1.8,1.3666666666666667,2.966666666666667
2012,ankle,sprained,dnp,G,190.5,205.7,247.7,188.0,3.0%,25,2012,28.26315789473684,18.2,76.0,2.013157894736842,1.3026315789473684,11.63157894736842,3.0657894736842106,1.013157894736842,0.8684210526315791,2.5394736842105257,0.3157894736842105,2.3026315789473686
2015,knee,sprained,dtd,F,205.7,217.8,269.2,215.0,4.7%,24,2016,27.942857142857147,21.8,70.0,2.7,1.8285714285714283,13.471428571428573,2.5428571428571427,2.3857142857142857,1.3857142857142857,1.5,0.9285714285714286,3.585714285714286
2012,back,sore,dnp,F-C,210.8,,,236.0,,35,2012,16.785714285714285,10.1,56.0,2.267857142857143,0.4642857142857143,3.3392857142857144,0.4821428571428572,0.0,0.42857142857142855,0.8214285714285714,2.8571428571428568,3.3928571428571432
2017,hamstring,strained,dtd,C,213.4,221.0,280.7,260.0,,32,2017,20.728571428571428,11.4,70.0,3.1571428571428566,1.1857142857142855,5.357142857142857,0.3428571428571429,0.014285714285714284,0.4714285714285714,2.3142857142857145,1.7285714285714286,5.3
2016,knee,injury,indefinitely,G,185.4,,,185.0,,28,2017,28.74647887323944,15.3,71.0,3.2957746478873235,1.2816901408450705,9.859154929577462,0.8450704225352113,1.7464788732394363,1.323943661971831,3.3661971830985915,1.028169014084507,2.492957746478873
2019,knee,bruised,dtd,C,210.8,217.2,278.1,245.0,5.9%,27,2020,25.63636363636364,22.9,44.0,2.409090909090909,1.7954545454545454,13.954545454545455,2.386363636363636,0.1590909090909091,0.4090909090909091,1.9090909090909087,3.8863636363636362,6.590909090909091
2014,groin,strained,dnp,F,203.2,,,225.0,,26,2014,25.09302325581395,22.7,43.0,2.7674418604651163,1.3953488372093024,13.023255813953488,2.046511627906977,1.2093023255813953,1.0465116279069768,1.3488372093023255,1.0465116279069768,4.023255813953488
2013,hip,torn,season,F,205.7,213.4,270.5,245.0,,-28,2013,37.21052631578947,26.0,57.0,3.1403508771929824,2.6140350877192984,20.12280701754386,3.842105263157895,0.0,0.9473684210526316,2.8421052631578947,3.0,6.56140350877193
2013,knee,bruised,dnp,F,205.7,213.4,270.5,245.0,,-29,2013,37.21052631578947,26.0,57.0,3.1403508771929824,2.6140350877192984,20.12280701754386,3.842105263157895,0.0,0.9473684210526316,2.8421052631578947,3.0,6.56140350877193
2012,groin,strained,dnp,G,190.5,203.2,250.2,190.0,4.6%,23,2012,37.358024691358025,32.2,81.0,1.6790123456790125,3.4320987654320985,25.01234567901234,5.876543209876544,1.5802469135802468,1.0493827160493827,7.691358024691357,1.0,3.074074074074073
2019,knee,torn,season,G-F,200.7,205.7,262.9,215.0,8.0%,29,2019,34.328767123287676,23.7,73.0,1.6027397260273972,1.7534246575342465,20.013698630136982,1.1232876712328768,3.136986301369863,0.7534246575342466,2.5342465753424657,0.4246575342465753,3.3698630136986303
2012,ankle,sore,dnp,F,203.2,218.4,273.1,215.0,8.0%,26,2012,34.666666666666664,17.7,75.0,2.4,1.5733333333333333,11.013333333333335,1.84,1.0933333333333333,1.6,2.16,0.8133333333333334,4.626666666666667
2012,groin,strained,dnp,F,205.7,213.4,270.5,245.0,,-29,2012,36.08219178082192,21.2,73.0,2.8904109589041096,2.3287671232876708,16.479452054794518,2.8767123287671232,0.0136986301369863,1.0136986301369864,3.191780821917808,2.9726027397260286,6.808219178082192
2016,groin,strained,dtd,G-F,198.1,205.7,256.5,230.0,8.2%,23,2016,15.266666666666667,20.4,45.0,1.3555555555555556,0.4888888888888889,5.644444444444448,0.6888888888888889,1.0888888888888888,0.4666666666666667,0.4666666666666667,0.4888888888888889,1.5555555555555556
2017,knee,sore,dtd,G,193.0,210.2,259.1,220.0,6.7%,35,2018,29.86666666666667,29.6,60.0,1.8666666666666667,2.3,18.266666666666666,3.716666666666667,0.75,1.4333333333333331,3.8,1.05,3.45
2013,ankle,sprained,dnp,G,190.5,198.8,248.9,200.0,,29,2014,36.43589743589744,24.4,78.0,2.4871794871794872,2.7948717948717947,18.923076923076927,4.064102564102564,2.1666666666666665,0.9615384615384616,7.743589743589744,0.3717948717948718,2.602564102564102
2012,back,sore,dnp,F-C,210.8,,,236.0,,35,2012,16.785714285714285,10.1,56.0,2.267857142857143,0.4642857142857143,3.3392857142857144,0.4821428571428572,0.0,0.42857142857142855,0.8214285714285714,2.8571428571428568,3.3928571428571432
2016,knee,sore,dtd,F,205.7,,,240.0,,35,2016,20.48148148148148,22.8,81.0,2.3703703703703702,1.160493827160494,9.419753086419751,1.9506172839506173,0.061728395061728385,0.5802469135802469,1.2962962962962965,1.7037037037037035,4.790123456790123
2017,knee,injury,dtd,F,203.2,219.7,262.9,230.0,7.0%,31,2018,22.3375,11.6,80.0,1.525,0.575,6.05,0.7375,0.5375,1.0125,0.4875,0.55,1.575
2011,ankle,sprained,dtd,G,188.0,,,190.0,,24,2011,19.071428571428573,14.2,56.0,1.4107142857142858,0.6428571428571429,6.3392857142857135,0.6071428571428571,1.2678571428571428,0.44642857142857145,1.25,0.23214285714285715,1.0714285714285714
2012,hip,injury,dnp,F-C,210.8,225.4,279.4,260.0,8.7%,26,2012,39.641975308641975,25.7,81.0,2.716049382716049,1.8888888888888888,21.839506172839503,4.333333333333333,0.04938271604938271,1.0123456790123455,2.098765432098765,3.4320987654320985,5.320987654320987
2012,ankle,injury,dnp,F-G,203.2,,,218.0,,32,2012,20.43902439024389,14.4,41.0,2.1463414634146343,1.0,5.560975609756096,0.5609756097560976,1.048780487804878,0.4878048780487805,1.2439024390243902,0.9268292682926828,3.5609756097560976
2016,knee,sore,dtd,G,195.6,,,195.0,,20,2017,28.2375,24.1,80.0,1.775,2.45,13.175,1.75,1.625,1.1625,3.325,0.5875,2.8375
2018,hip,strained,dtd,F-C,208.3,227.3,274.3,253.0,7.9%,25,2019,36.36,30.0,75.0,2.12,2.16,28.13333333333333,6.6,0.7333333333333333,1.5333333333333334,2.32,2.493333333333333,8.6
2014,knee,tendinitis,dnp,G,190.5,198.8,248.9,200.0,,29,2014,36.43589743589744,24.4,78.0,2.4871794871794872,2.7948717948717947,18.923076923076927,4.064102564102564,2.1666666666666665,0.9615384615384616,7.743589743589744,0.3717948717948718,2.602564102564102
2012,knee,injury,dnp,G,185.4,200.0,246.4,195.0,4.0%,32,2012,19.5875,13.4,80.0,1.825,1.45,4.2875,0.6875,0.45,0.7625,3.475,0.65,1.625
2013,hip,torn,dnp,F,205.7,213.4,270.5,245.0,,-28,2013,37.21052631578947,26.0,57.0,3.1403508771929824,2.6140350877192984,20.12280701754386,3.842105263157895,0.0,0.9473684210526316,2.8421052631578947,3.0,6.56140350877193
2014,knee,tendinitis,dnp,G,193.0,205.7,251.5,215.0,8.2%,25,2014,30.095238095238088,29.4,42.0,1.7857142857142858,2.7857142857142856,16.976190476190474,4.4523809523809526,1.3333333333333333,1.0714285714285714,3.261904761904762,0.2380952380952381,1.5952380952380951
2012,knee,sprained,dnp,F,205.7,210.8,260.4,248.0,7.5%,28,2012,26.52830188679245,20.3,53.0,2.358490566037736,1.5471698113207548,11.905660377358492,2.9245283018867925,0.0,0.5660377358490566,0.9433962264150944,2.3962264150943398,2.3773584905660377
2014,knee,sore,dnp,F-C,205.7,219.1,275.6,258.0,,32,2014,32.22784810126582,25.8,79.0,3.0253164556962027,2.2278481012658227,16.21518987341772,2.4430379746835444,0.0,0.8354430379746836,2.2658227848101267,2.2151898734177213,7.5443037974683556
2016,knee,tendinitis,dtd,G,198.1,201.3,256.5,190.0,4.4%,24,2016,33.92682926829269,27.1,41.0,2.5121951219512195,4.243902439024391,14.951219512195122,2.8536585365853657,0.7804878048780488,1.4634146341463414,7.365853658536586,1.048780487804878,5.146341463414634
2017,groin,injury,dtd,F-C,208.3,222.9,275.6,210.0,5.8%,30,2018,15.964285714285715,16.3,28.0,1.5,0.35714285714285715,6.75,0.8214285714285714,0.0,0.3928571428571429,0.5357142857142857,1.1071428571428572,1.6785714285714286
2012,ankle,sprained,dnp,G,182.9,207.6,254.0,170.0,7.9%,24,2013,21.716981132075468,22.0,53.0,1.849056603773585,1.320754716981132,8.90566037735849,1.0943396226415094,0.7169811320754716,1.0566037735849056,2.8679245283018866,0.3584905660377358,2.490566037735849
2019,calf,injury,dtd,G,185.4,,,175.0,,33,2020,26.57333333333333,32.4,75.0,1.0666666666666669,2.4133333333333336,19.973333333333333,5.666666666666668,1.4,0.76,5.36,0.5333333333333333,2.4266666666666667
2015,calf,injury,season,F,205.7,210.2,271.8,235.0,7.3%,27,2015,17.073529411764707,18.1,68.0,2.7205882352941178,0.8529411764705882,5.897058823529411,0.7794117647058824,0.35294117647058826,0.5735294117647058,0.8970588235294118,0.7647058823529411,2.323529411764706
2013,ankle,sprained,dnp,G,182.9,189.2,241.3,190.0,8.0%,31,2013,29.929824561403517,21.4,57.0,2.280701754385965,2.3684210526315788,11.859649122807017,1.2456140350877194,1.5263157894736843,0.6666666666666666,5.701754385964912,0.5087719298245614,2.6666666666666665
2013,ankle,sprained,dnp,G,190.5,201.9,245.1,203.0,7.1%,23,2014,20.142857142857142,15.8,7.0,1.4285714285714286,1.1428571428571428,5.285714285714286,0.14285714285714285,0.5714285714285714,0.8571428571428571,3.2857142857142856,0.42857142857142855,1.8571428571428568
2010,knee,sore,dnp,F-C,213.4,,,245.0,,25,2011,34.9875,22.3,80.0,2.6875,1.5,17.2,2.2625,1.5125,0.3125,1.1625,1.3125,4.85
2011,calf,strained,dnp,G,195.6,,,204.0,,34,2011,31.4,18.2,5.0,2.6,1.0,12.0,0.6,1.8,0.8,2.0,1.0,3.2
2012,back,spasms,dnp,G,193.0,,,205.0,,39,2013,28.72916666666667,12.7,48.0,1.7291666666666667,1.8958333333333333,6.229166666666668,0.4583333333333333,1.6458333333333333,1.7083333333333333,5.5,0.3125,3.8125
2015,back,spasms,dtd,G,193.0,,,190.0,,31,2016,30.884615384615394,21.0,78.0,1.7179487179487178,1.2179487179487178,16.371794871794872,2.3461538461538463,2.5641025641025643,0.5,1.7564102564102564,0.28205128205128205,1.858974358974359
2017,back,sore,dtd,G-F,198.1,211.5,262.9,210.0,4.7%,25,2018,28.531645569620252,14.9,79.0,2.1645569620253164,0.7848101265822784,10.69620253164557,1.3291139240506329,1.6962025316455696,0.6835443037974683,1.1898734177215189,0.2405063291139241,2.6202531645569622
2014,knee,strained,dtd,C,210.8,224.8,283.2,265.0,10.5%,28,2015,33.74647887323944,24.0,71.0,3.380281690140845,3.2253521126760565,18.267605633802816,4.915492957746478,0.028169014084507043,0.8450704225352113,1.845070422535212,3.2535211267605635,8.943661971830986
2013,knee,surgery,indefinitely,G,190.5,202.6,254.0,200.0,4.8%,25,2014,34.890243902439025,32.8,82.0,2.3048780487804885,3.3292682926829267,23.207317073170728,5.6097560975609735,1.1829268292682926,1.7682926829268293,7.402439024390246,1.3536585365853655,3.865853658536585
2014,knee,"surgery', 'torn",dnp,F-C,205.7,,,242.0,,25,2014,29.0375,19.9,80.0,2.0,1.8125,12.725,2.275,0.0,0.6,1.1,3.325,7.025
2015,ankle,sprained,dtd,G-F,195.6,,,201.0,,26,2016,17.653333333333332,15.5,75.0,1.6933333333333334,0.9733333333333334,5.2,0.8,0.64,0.6933333333333334,1.04,0.28,2.68
2016,knee,sore,dtd,G,195.6,203.8,254.0,189.0,4.7%,21,2017,27.97560975609756,23.5,82.0,2.3536585365853657,1.8902439024390243,14.024390243902438,1.9634146341463408,1.5,0.8414634146341463,3.0609756097560976,0.32926829268292684,2.451219512195122
2010,ankle,sprained,dnp,F,200.7,200.7,256.5,209.0,10.0%,22,2011,20.10810810810811,19.4,74.0,1.1486486486486491,0.6486486486486487,8.878378378378379,0.9054054054054054,1.2432432432432432,0.4594594594594595,1.1891891891891893,0.5135135135135135,2.45945945945946
2020,knee,sore,dtd,F-C,208.3,227.3,274.3,253.0,7.9%,26,2020,33.035714285714285,29.5,56.0,2.357142857142857,2.0,25.92857142857143,6.142857142857142,0.8571428571428571,1.5714285714285714,3.8928571428571432,3.1071428571428568,8.892857142857142
2011,ankle,sprained,indefinitely,F-C,210.8,,,250.0,,34,2011,31.256410256410252,26.0,78.0,1.9487179487179491,1.794871794871795,17.884615384615387,3.4743589743589745,0.02564102564102564,0.5769230769230769,3.1538461538461537,2.833333333333333,7.269230769230767
2011,back,spasms,dnp,G,190.5,,,209.0,,31,2011,33.64,24.3,75.0,2.8,2.813333333333333,15.266666666666667,3.1866666666666665,1.0933333333333333,1.68,7.973333333333334,0.6933333333333334,2.853333333333333
2012,foot,sprained,dnp,G,193.0,200.7,255.3,205.0,6.3%,22,2013,33.784615384615385,21.8,65.0,2.107692307692308,2.0769230769230766,13.523076923076925,1.4461538461538461,1.0,1.5846153846153843,4.461538461538462,0.8769230769230769,2.3846153846153846
2017,ankle,sprained,dtd,F,200.7,221.0,269.2,230.0,5.4%,25,2017,33.05555555555556,25.8,72.0,1.8472222222222223,1.4583333333333333,21.152777777777786,4.055555555555555,1.7916666666666667,1.7777777777777777,2.583333333333333,1.3194444444444444,5.527777777777778
2011,knee,injury,dnp,G-F,198.1,,,225.0,,23,2011,23.761904761904763,20.5,63.0,3.0158730158730163,1.2857142857142858,9.873015873015873,1.0476190476190477,1.1746031746031746,0.9206349206349206,1.6666666666666667,0.6666666666666666,2.0
2011,shoulder,surgery,indefinitely,G,193.0,198.1,250.2,190.0,5.3%,30,2012,30.64583333333333,17.1,48.0,2.4791666666666665,1.75,11.0625,1.9166666666666667,0.8958333333333334,1.1666666666666667,4.375,0.2916666666666667,2.395833333333333
2014,back,spasms,dnp,G-F,200.7,207.0,260.4,212.0,6.7%,33,2014,30.52702702702703,14.5,74.0,2.2972972972972974,0.9459459459459459,10.945945945945946,0.9054054054054054,2.5540540540540544,0.9459459459459459,1.9729729729729728,0.3108108108108108,3.6486486486486487
2011,knee,sprained,indefinitely,F,208.3,,,225.0,,22,2011,33.91358024691357,19.3,81.0,2.3580246913580245,1.3580246913580247,15.074074074074074,3.0987654320987654,2.2962962962962963,0.9259259259259259,1.6666666666666667,0.8024691358024691,4.111111111111111
2012,groin,strained,dnp,G,188.0,190.5,240.0,180.0,4.4%,25,2012,24.602739726027398,21.6,73.0,1.7534246575342465,1.904109589041096,9.602739726027398,1.1232876712328768,1.4931506849315068,0.8493150684931506,5.04109589041096,0.3287671232876712,2.041095890410959
2015,foot,fractured,indefinitely,G,193.0,194.3,248.9,210.0,8.0%,28,2016,24.36666666666667,20.1,60.0,1.2666666666666666,0.95,11.05,2.4166666666666665,1.2333333333333334,0.9833333333333332,1.3166666666666669,0.2,1.5333333333333334
2011,groin,sore,dnp,G-F,198.1,,,185.0,,32,2011,33.73913043478261,27.9,46.0,2.5,2.5,18.065217391304348,4.434782608695652,0.8913043478260869,0.6521739130434783,4.391304347826087,0.6521739130434783,2.0
2012,groin,strained,dnp,F,203.2,,,275.0,,33,2013,28.86666666666667,18.9,60.0,2.933333333333333,1.0833333333333333,10.983333333333333,1.4166666666666667,0.0,0.9666666666666668,1.6166666666666667,2.4166666666666665,4.733333333333333
2015,knee,torn,indefinitely,G,190.5,203.2,250.2,190.0,4.6%,26,2015,31.1,31.5,10.0,1.5,3.4,15.9,2.7,1.6,0.5,4.3,0.9,2.3
2012,calf,strained,dnp,F,200.7,213.4,261.6,233.0,6.7%,32,2013,28.48780487804878,14.6,41.0,2.024390243902439,0.7804878048780488,9.24390243902439,0.8536585365853658,1.951219512195122,0.6097560975609756,1.3414634146341464,0.4390243902439024,3.0487804878048776
2019,knee,bruised,dtd,G,182.9,,,195.0,,25,2020,27.5,17.9,64.0,1.71875,1.28125,10.953125,1.515625,1.75,0.890625,4.796875,0.328125,2.28125
2012,back,strained,dnp,G,190.5,203.2,250.2,190.0,4.6%,23,2012,37.358024691358025,32.2,81.0,1.6790123456790125,3.4320987654320985,25.01234567901234,5.876543209876544,1.5802469135802468,1.0493827160493827,7.691358024691357,1.0,3.074074074074073
2010,knee,sore,dnp,G,198.1,203.2,256.5,215.0,7.6%,26,2011,37.215384615384615,26.7,65.0,2.0923076923076924,1.984615384615385,21.50769230769231,5.276923076923077,1.1230769230769229,0.9384615384615383,4.6923076923076925,1.1230769230769229,3.2615384615384615
2017,foot,sore,dtd,G-F,200.7,,,205.0,,24,2017,32.481012658227854,20.1,79.0,2.7088607594936707,1.6835443037974684,15.354430379746836,2.518987341772152,1.9746835443037976,1.2151898734177216,2.6962025316455698,0.4177215189873418,2.430379746835444
2012,back,sore,dnp,F-C,210.8,,,236.0,,35,2012,16.785714285714285,10.1,56.0,2.267857142857143,0.4642857142857143,3.3392857142857144,0.4821428571428572,0.0,0.42857142857142855,0.8214285714285714,2.8571428571428568,3.3928571428571432
2019,knee,injury,indefinitely,G-F,198.1,211.5,262.9,210.0,4.7%,27,2020,26.348837209302324,16.4,43.0,2.372093023255814,1.069767441860465,9.604651162790695,0.9534883720930232,2.2790697674418605,0.5348837209302325,1.069767441860465,0.37209302325581395,3.069767441860465
2010,wrist,sprained,dnp,G,190.5,,,202.0,,34,2011,34.109589041095894,24.3,73.0,2.095890410958904,2.424657534246576,19.54794520547945,6.383561643835616,2.150684931506849,1.1232876712328768,5.602739726027397,0.3424657534246575,2.780821917808219
2012,ankle,sprained,dnp,F,208.3,,,225.0,,24,2013,31.41860465116279,20.7,43.0,2.0,1.5813953488372092,14.604651162790693,4.232558139534883,1.3953488372093024,0.9767441860465116,2.697674418604651,0.6511627906976745,4.046511627906977
2013,ankle,sore,dnp,G,193.0,205.7,251.5,215.0,8.2%,24,2013,34.44444444444444,29.4,9.0,2.2222222222222223,2.6666666666666665,20.555555555555557,5.4444444444444455,1.1111111111111112,1.4444444444444444,3.4444444444444446,0.2222222222222222,2.5555555555555562
2011,knee,torn,indefinitely,F-G,200.7,206.4,261.6,190.0,5.3%,-52,2012,20.325,18.7,80.0,1.55,0.7125,9.225,1.25,1.275,0.35,1.5125,0.5625,2.1375
2010,back,sore,dnp,C,213.4,221.0,280.7,260.0,,26,2011,32.30434782608695,23.3,69.0,3.217391304347826,1.8985507246376807,15.869565217391305,2.1594202898550723,0.0,0.5652173913043478,1.8405797101449275,3.0144927536231885,7.144927536231884
2011,hamstring,strained,dnp,F-G,203.2,,,218.0,,32,2011,33.333333333333336,25.0,9.0,1.7777777777777777,2.888888888888889,16.555555555555557,2.888888888888889,1.2222222222222223,1.5555555555555556,4.666666666666667,0.6666666666666666,3.2222222222222223
2012,ankle,sprained,dnp,G,200.7,210.8,268.0,192.0,6.7%,26,2012,17.273972602739725,20.1,73.0,1.4931506849315068,1.2054794520547945,6.5616438356164375,1.4794520547945205,0.0136986301369863,0.6438356164383562,2.246575342465753,0.3972602739726027,1.643835616438356
2015,shoulder,sore,dtd,F,203.2,219.7,262.9,230.0,7.0%,28,2015,21.777777777777786,9.4,9.0,2.0,0.4444444444444444,4.4444444444444455,1.0,0.1111111111111111,1.0,1.6666666666666667,1.0,2.0
2011,knee,sore,dnp,F-C,210.8,,,226.0,,32,2011,28.442857142857147,22.9,70.0,3.0285714285714285,1.7857142857142858,13.571428571428573,2.3142857142857145,0.0,0.35714285714285715,1.3142857142857145,1.7714285714285714,5.1714285714285735
2014,ankle,sprained,dnp,G,195.6,198.1,252.7,210.0,6.3%,26,2014,35.52439024390244,20.9,82.0,2.3780487804878048,2.5609756097560976,15.304878048780491,2.3292682926829267,1.7317073170731707,1.1341463414634143,4.402439024390244,0.4390243902439024,3.109756097560976
2018,knee,injury,dtd,G,193.0,200.0,243.8,210.0,4.6%,23,2018,31.26315789473684,18.4,57.0,1.6140350877192982,1.3333333333333333,14.929824561403509,1.824561403508772,1.8771929824561404,1.2456140350877194,2.8771929824561404,0.8421052631578947,2.280701754385965
2013,hamstring,strained,dnp,G,195.6,,,210.0,,27,2013,33.645161290322584,19.1,62.0,2.161290322580645,1.3709677419354838,15.209677419354836,3.177419354838709,1.4193548387096775,0.5806451612903226,2.403225806451613,0.6451612903225806,2.532258064516129
2013,knee,"surgery', 'torn",indefinitely,G,185.4,,,186.0,,27,2014,37.44736842105263,21.7,38.0,2.526315789473684,3.8947368421052633,13.73684210526316,1.5789473684210529,0.3157894736842105,1.8421052631578947,11.052631578947368,1.131578947368421,4.447368421052632
2015,knee,sore,dtd,F-C,213.4,210.2,269.2,245.0,7.5%,29,2016,21.768292682926827,19.7,82.0,2.5,1.2682926829268293,8.0,1.548780487804878,0.18292682926829268,0.3902439024390244,1.7073170731707317,1.195121951219512,2.7560975609756087
2016,knee,sore,season,F-C,208.3,223.5,279.4,265.0,6.5%,24,2016,30.81081081081081,23.8,74.0,2.8378378378378377,1.635135135135135,16.04054054054054,3.0,0.013513513513513514,0.8108108108108109,1.5135135135135136,2.6486486486486487,5.554054054054054
2012,shoulder,strained,dnp,G,200.7,,,199.0,,29,2012,32.5375,29.6,80.0,1.9375,2.3,23.45,7.425,2.2,1.0,2.475,0.35,2.875
2017,knee,sore,dtd,F,205.7,210.2,271.8,235.0,7.3%,28,2017,21.65714285714286,16.7,70.0,2.642857142857143,0.9428571428571428,7.5285714285714285,0.5714285714285714,0.6428571428571429,0.7571428571428571,1.3714285714285714,1.2285714285714286,2.9571428571428573
2013,hip,sore,dnp,F,205.7,214.6,275.6,220.0,6.7%,27,2013,39.425925925925924,19.8,54.0,1.5,1.7777777777777777,15.333333333333336,2.351851851851852,1.4629629629629632,1.037037037037037,2.9074074074074074,1.4259259259259258,5.0555555555555545
