,Unnamed: 0,Date,Team,Notes,Player,dateTime,Year,Tokenized Notes,Body,Injury,Severity,Player_Identifier
4624,4666,2014-03-14,Celtics,knee injury (DNP),Vitor Faverani,2014-03-14,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4631,4673,2014-03-15,Pistons,sprained left ankle (DNP),Peyton Siva,2014-03-15,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],sivape01
4632,4674,2014-03-16,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-03-16,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4634,4676,2014-03-16,Celtics,knee injury (DNP),Vitor Faverani,2014-03-16,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4640,4682,2014-03-16,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-03-16,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4645,4687,2014-03-17,Celtics,knee injury (DNP),Vitor Faverani,2014-03-17,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4654,4696,2014-03-19,Celtics,knee injury (DNP),Vitor Faverani,2014-03-19,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4665,4707,2014-03-19,Pistons,sprained left ankle (DNP),Peyton Siva,2014-03-19,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],sivape01
4666,4708,2014-03-19,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-03-19,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4673,4715,2014-03-20,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-03-20,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4676,4718,2014-03-21,Celtics,knee injury (DNP),Vitor Faverani,2014-03-21,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4680,4722,2014-03-21,Lakers,upper respiratory infection (DNP),Wes Johnson,2014-03-21,2014,"['upper', 'respiratory', 'infection', '(', 'dnp', ')']",[],['infection'],['dnp'],
4681,4723,2014-03-21,Pistons,sprained left ankle (DNP),Peyton Siva,2014-03-21,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],sivape01
4682,4724,2014-03-22,76ers,sprained right ankle (DNP),Tony Wroten Jr.,2014-03-22,2014,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
4694,4736,2014-03-22,Pistons,sprained left ankle (DNP),Peyton Siva,2014-03-22,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],sivape01
4712,4754,2014-03-23,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-03-23,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4713,4755,2014-03-24,76ers,sprained right ankle (DNP),Tony Wroten Jr.,2014-03-24,2014,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
4714,4756,2014-03-24,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-03-24,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4721,4763,2014-03-24,Nuggets,bruised left rib (DTD),Jan Vesely,2014-03-24,2014,"['bruised', 'left', 'rib', '(', 'dtd', ')']","['left', 'rib']",['bruised'],['dtd'],
4730,4772,2014-03-24,Timberwolves,sprained left foot (DNP),Jose Barea ,2014-03-24,2014,"['sprained', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sprained'],['dnp'],
4731,4773,2014-03-24,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-03-24,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4744,4786,2014-03-26,Celtics,knee injury (DNP),Vitor Faverani,2014-03-26,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4749,4791,2014-03-26,Nets,back injury (DNP),Marcus Thornton ,2014-03-26,2014,"['back', 'injury', '(', 'dnp', ')']",['back'],['injury'],['dnp'],
4756,4798,2014-03-26,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-03-26,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4757,4799,2014-03-27,76ers,sprained right ankle (DNP),Tony Wroten Jr.,2014-03-27,2014,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
4758,4800,2014-03-27,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-03-27,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4762,4804,2014-03-27,Hawks,sprained right ankle (DNP),Pero Antic,2014-03-27,2014,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
4769,4811,2014-03-28,Celtics,knee injury (DNP),Vitor Faverani,2014-03-28,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4784,4827,2014-03-28,Thunder,back spasms (DNP),Reggie Jackson ,2014-03-28,2014,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
4787,4830,2014-03-29,76ers,sprained left ankle (DNP),B.J. Mullens,2014-03-29,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
4788,4831,2014-03-29,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-03-29,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4808,4851,2014-03-30,Celtics,knee injury (DNP),Vitor Faverani,2014-03-30,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4813,4856,2014-03-30,Thunder,back spasms (DNP),Reggie Jackson ,2014-03-30,2014,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
4816,4859,2014-03-31,76ers,sprained left ankle (DNP),B.J. Mullens,2014-03-31,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
4817,4860,2014-03-31,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-03-31,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4819,4862,2014-03-31,Celtics,knee injury (DNP),Vitor Faverani,2014-03-31,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4827,4870,2014-03-31,Knicks,stomach virus (DNP),Toure Murry,2014-03-31,2014,"['stomach', 'virus', '(', 'dnp', ')']",['stomach'],['virus'],['dnp'],
4836,4879,2014-04-01,Nets,back injury (DNP),Marcus Thornton ,2014-04-01,2014,"['back', 'injury', '(', 'dnp', ')']",['back'],['injury'],['dnp'],
4842,4885,2014-04-02,76ers,sprained left ankle (DNP),B.J. Mullens,2014-04-02,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
4844,4887,2014-04-02,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-04-02,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4847,4890,2014-04-02,Cavaliers,sprained AC joint in right shoulder (DNP),Anderson Varejao,2014-04-02,2014,"['sprained', 'ac', 'joint', 'in', 'right', 'shoulder', '(', 'dnp', ')']","['joint', 'right', 'shoulder']",['sprained'],['dnp'],
4851,4894,2014-04-02,Celtics,knee injury (DNP),Vitor Faverani,2014-04-02,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4878,4921,2014-04-03,Spurs,rest (DNP),Manu Ginobili,2014-04-03,2014,"['rest', '(', 'dnp', ')']",[],['rest'],"['rest', 'dnp']",
4879,4922,2014-04-04,76ers,sprained left ankle (DNP),B.J. Mullens,2014-04-04,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
4882,4925,2014-04-04,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-04-04,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4887,4930,2014-04-04,Celtics,knee injury (DNP),Vitor Faverani,2014-04-04,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4888,4931,2014-04-04,Heat,illness (DNP),Justin Hamilton ,2014-04-04,2014,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
4894,4937,2014-04-04,Magic,sore left Achilles (DNP),Nikola Vucevic,2014-04-04,2014,"['sore', 'left', 'achilles', '(', 'dnp', ')']","['left', 'achilles']",['sore'],['dnp'],
4906,4949,2014-04-04,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-04,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4909,4952,2014-04-05,76ers,sprained left ankle (DNP),B.J. Mullens,2014-04-05,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
4912,4955,2014-04-05,Bucks,right ankle injury (DNP),Ersan Ilyasova,2014-04-05,2014,"['right', 'ankle', 'injury', '(', 'dnp', ')']","['right', 'ankle']",['injury'],['dnp'],
4920,4963,2014-04-05,Celtics,knee injury (DNP),Vitor Faverani,2014-04-05,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4922,4965,2014-04-05,Magic,sore left Achilles (DNP),Nikola Vucevic,2014-04-05,2014,"['sore', 'left', 'achilles', '(', 'dnp', ')']","['left', 'achilles']",['sore'],['dnp'],
4925,4968,2014-04-05,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-05,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4931,4974,2014-04-06,Heat,illness (DNP),Justin Hamilton ,2014-04-06,2014,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
4966,5009,2014-04-08,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-08,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4967,5010,2014-04-09,76ers,sprained left ankle (DNP),B.J. Mullens,2014-04-09,2014,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
4972,5015,2014-04-09,Celtics,knee injury (DNP),Vitor Faverani,2014-04-09,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
4975,5018,2014-04-09,Hawks,sore right ankle (DNP),Pero Antic,2014-04-09,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
4980,5023,2014-04-09,Magic,sore left Achilles (DNP),Nikola Vucevic,2014-04-09,2014,"['sore', 'left', 'achilles', '(', 'dnp', ')']","['left', 'achilles']",['sore'],['dnp'],
4997,5040,2014-04-09,Timberwolves,back spasms (DNP),Jose Barea ,2014-04-09,2014,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
4999,5042,2014-04-09,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-09,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
5011,5054,2014-04-11,Celtics,knee injury (DNP),Vitor Faverani,2014-04-11,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
5017,5060,2014-04-11,Magic,sore left Achilles (DNP),Nikola Vucevic,2014-04-11,2014,"['sore', 'left', 'achilles', '(', 'dnp', ')']","['left', 'achilles']",['sore'],['dnp'],
5024,5067,2014-04-11,Spurs,calf injury / rest (DNP),Manu Ginobili,2014-04-11,2014,"['calf', 'injury', '/', 'rest', '(', 'dnp', ')']",['calf'],"['injury', 'rest']","['rest', 'dnp']",
5027,5070,2014-04-11,Suns,sprained ankle (DNP),Goran Dragic,2014-04-11,2014,"['sprained', 'ankle', '(', 'dnp', ')']",['ankle'],['sprained'],['dnp'],
5031,5074,2014-04-11,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-11,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
5048,5091,2014-04-12,Celtics,knee injury (DNP),Vitor Faverani,2014-04-12,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
5050,5093,2014-04-12,Hawks,sprained right ankle (DNP),Pero Antic,2014-04-12,2014,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
5069,5112,2014-04-13,Magic,sore left Achilles (DNP),Nikola Vucevic,2014-04-13,2014,"['sore', 'left', 'achilles', '(', 'dnp', ')']","['left', 'achilles']",['sore'],['dnp'],
5074,5117,2014-04-13,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-13,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
5080,5123,2014-04-14,Celtics,knee injury (DNP),Vitor Faverani,2014-04-14,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
5087,5130,2014-04-14,Magic,sore left Achilles (DNP),Nikola Vucevic,2014-04-14,2014,"['sore', 'left', 'achilles', '(', 'dnp', ')']","['left', 'achilles']",['sore'],['dnp'],
5096,5139,2014-04-14,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-14,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
5108,5151,2014-04-16,Cavaliers,DNP,Anderson Varejao,2014-04-16,2014,['dnp'],[],[],['dnp'],
5112,5155,2014-04-16,Celtics,knee injury (DNP),Vitor Faverani,2014-04-16,2014,"['knee', 'injury', '(', 'dnp', ')']",['knee'],['injury'],['dnp'],
5128,5171,2014-04-16,Magic,sore left Achilles (DNP),Nikola Vucevic,2014-04-16,2014,"['sore', 'left', 'achilles', '(', 'dnp', ')']","['left', 'achilles']",['sore'],['dnp'],
5146,5190,2014-04-16,Suns,ankle injury (DNP),Goran Dragic,2014-04-16,2014,"['ankle', 'injury', '(', 'dnp', ')']",['ankle'],['injury'],['dnp'],
5148,5192,2014-04-16,Timberwolves,back spasms (DNP),Jose Barea ,2014-04-16,2014,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
5149,5193,2014-04-16,Timberwolves,sore right ankle (DNP),Nikola Pekovic,2014-04-16,2014,"['sore', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sore'],['dnp'],
5152,5196,2014-04-16,Warriors,calf injury (DNP),Nemanja Nedovic,2014-04-16,2014,"['calf', 'injury', '(', 'dnp', ')']",['calf'],['injury'],['dnp'],
5182,5226,2014-05-24,Bobcats,arthroscopic surgery on right wrist to remove scar tissue (out indefinitely),Gerald Henderson ,2014-05-24,2014,"['arthroscopic', 'surgery', 'on', 'right', 'wrist', 'to', 'remove', 'scar', 'tissue', '(', 'out', 'indefinitely', ')']","['right', 'wrist', 'tissue']",['surgery'],['indefinitely'],
5186,5230,2014-07-02,Spurs,stress fracture in right leg (out indefinitely),Manu Ginobili,2014-07-02,2014,"['stress', 'fracture', 'in', 'right', 'leg', '(', 'out', 'indefinitely', ')']","['right', 'leg']","['stress', 'fracture']",['indefinitely'],
5188,5232,2014-07-14,Thunder,arthroscopic surgery on right knee (out indefinitely),Perry Jones III,2014-07-14,2014,"['arthroscopic', 'surgery', 'on', 'right', 'knee', '(', 'out', 'indefinitely', ')']","['right', 'knee']",['surgery'],['indefinitely'],
5197,5241,2014-09-29,Heat,surgery to repair atrial flutter (out indefinitely),Justin Hamilton ,2014-09-29,2014,"['surgery', 'to', 'repair', 'atrial', 'flutter', '(', 'out', 'indefinitely', ')']",[],['surgery'],['indefinitely'],
5202,5246,2014-10-13,Bucks,sprained MCL in right knee (out indefinitely),Johnny O'Bryant III,2014-10-13,2014,"['sprained', 'mcl', 'in', 'right', 'knee', '(', 'out', 'indefinitely', ')']","['right', 'knee']",['sprained'],['indefinitely'],
5206,5250,2014-10-17,Bucks,surgery (out indefinitely),Larry Sanders ,2014-10-17,2014,"['surgery', '(', 'out', 'indefinitely', ')']",[],['surgery'],['indefinitely'],
5221,5266,2014-10-29,Thunder,sprained right ankle (DTD),Reggie Jackson ,2014-10-29,2014,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
5222,5267,2014-10-29,Timberwolves,ankle injury (DTD),Glenn Robinson III,2014-10-29,2014,"['ankle', 'injury', '(', 'dtd', ')']",['ankle'],['injury'],['dtd'],
5223,5269,2014-10-29,Wizards,sprained right ankle (DNP),Glen Rice Jr.,2014-10-29,2014,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
5234,5285,2014-11-05,Pistons,strained right hamstring (DTD),Gigi Datome,2014-11-05,2014,"['strained', 'right', 'hamstring', '(', 'dtd', ')']","['right', 'hamstring']",['strained'],['dtd'],
5236,5287,2014-11-06,Spurs,rest (DTD),Manu Ginobili,2014-11-06,2014,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
5239,5290,2014-11-07,76ers,left knee injury (DTD),Malcolm Thomas ,2014-11-07,2014,"['left', 'knee', 'injury', '(', 'dtd', ')']","['left', 'knee']",['injury'],['dtd'],
5243,5294,2014-11-07,Thunder,bruised right knee (DTD),Perry Jones III,2014-11-07,2014,"['bruised', 'right', 'knee', '(', 'dtd', ')']","['right', 'knee']",['bruised'],['dtd'],
5250,5303,2014-11-09,Magic,sprained rotator cuff in right shoulder (DTD),Roy Marble ,2014-11-09,2014,"['sprained', 'rotator', 'cuff', 'in', 'right', 'shoulder', '(', 'dtd', ')']","['right', 'shoulder']",['sprained'],['dtd'],
5266,5334,2014-11-18,Bucks,bruised left thigh (DTD),Larry Sanders ,2014-11-18,2014,"['bruised', 'left', 'thigh', '(', 'dtd', ')']",['left'],['bruised'],['dtd'],
5276,5347,2014-11-19,Timberwolves,sprained right wrist (DTD),Nikola Pekovic,2014-11-19,2014,"['sprained', 'right', 'wrist', '(', 'dtd', ')']","['right', 'wrist']",['sprained'],['dtd'],
5283,5360,2014-11-21,Pelicans,DNP,Omer Asik,2014-11-21,2014,['dnp'],[],[],['dnp'],
5286,5363,2014-11-22,Wizards,left hamstring injury (DNP),Otto Porter Jr.,2014-11-22,2014,"['left', 'hamstring', 'injury', '(', 'dnp', ')']","['left', 'hamstring']",['injury'],['dnp'],
5295,5375,2014-11-25,Wizards,plantar faciitis in right foot (DTD),Nene Hilario ,2014-11-25,2014,"['plantar', 'faciitis', 'in', 'right', 'foot', '(', 'dtd', ')']","['plantar', 'right', 'foot']",[],['dtd'],
5313,5403,2014-12-02,Magic,back spasms (DTD),Nikola Vucevic,2014-12-02,2014,"['back', 'spasms', '(', 'dtd', ')']",['back'],['spasms'],['dtd'],
5315,5409,2014-12-03,Bucks,fractured nose (DTD),Ersan Ilyasova,2014-12-03,2014,"['fractured', 'nose', '(', 'dtd', ')']",['nose'],['fractured'],['dtd'],
5320,5422,2014-12-05,Heat,cold (DTD),Norris Cole ,2014-12-05,2014,"['cold', '(', 'dtd', ')']",[],['cold'],['dtd'],
5323,5425,2014-12-06,Spurs,left shoulder impingement (DTD),Manu Ginobili,2014-12-06,2014,"['left', 'shoulder', 'impingement', '(', 'dtd', ')']","['left', 'shoulder']",[],['dtd'],
5329,5434,2014-12-08,Wizards,sore left (P) / right knee (DTD),Nene Hilario ,2014-12-08,2014,"['sore', 'left', '(', 'p', ')', '/', 'right', 'knee', '(', 'dtd', ')']","['left', 'right', 'knee']",['sore'],['dtd'],
5334,5440,2014-12-10,Nets,right hip pointer (DTD),Mirza Teletovic,2014-12-10,2014,"['right', 'hip', 'pointer', '(', 'dtd', ')']","['right', 'hip']",[],['dtd'],
5335,5442,2014-12-10,Rockets,strained right Achilles (DTD),Francisco Garcia,2014-12-10,2014,"['strained', 'right', 'achilles', '(', 'dtd', ')']","['right', 'achilles']",['strained'],['dtd'],
5336,5443,2014-12-10,Spurs,rest (DTD),Manu Ginobili,2014-12-10,2014,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
5346,5461,2014-12-13,Bucks,right ankle injury (out for season),Damien Inglis,2014-12-13,2014,"['right', 'ankle', 'injury', '(', 'out', 'for', 'season', ')']","['right', 'ankle']",['injury'],['season'],inglida01
5352,5470,2014-12-15,Spurs,bruised lower back (DTD),Manu Ginobili,2014-12-15,2014,"['bruised', 'lower', 'back', '(', 'dtd', ')']",['back'],['bruised'],['dtd'],
5362,5488,2014-12-18,Bucks,suspended by NBA for 1 game for shoving opposing player,Larry Sanders ,2014-12-18,2014,"['suspended', 'by', 'nba', 'for', '1', 'game', 'for', 'shoving', 'opposing', 'player']",[],[],[],
5372,5504,2014-12-20,Spurs,rest (DTD),Manu Ginobili,2014-12-20,2014,"['rest', '(', 'dtd', ')']",[],['rest'],"['rest', 'dtd']",
5381,5522,2014-12-23,76ers,sprained right knee (DTD),Tony Wroten Jr.,2014-12-23,2014,"['sprained', 'right', 'knee', '(', 'dtd', ')']","['right', 'knee']",['sprained'],['dtd'],
5382,5523,2014-12-23,Hawks,sprained right ankle (DTD),Pero Antic,2014-12-23,2014,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
5384,5525,2014-12-23,Heat,concussion (DTD),Justin Hamilton ,2014-12-23,2014,"['concussion', '(', 'dtd', ')']",[],['concussion'],['dtd'],
5386,5529,2014-12-23,Pacers,upper respiratory infection (DTD),Damjan Rudez,2014-12-23,2014,"['upper', 'respiratory', 'infection', '(', 'dtd', ')']",[],['infection'],['dtd'],
5388,5535,2014-12-26,Bucks,concussion (DTD),Ersan Ilyasova,2014-12-26,2014,"['concussion', '(', 'dtd', ')']",[],['concussion'],['dtd'],
5389,5536,2014-12-26,Cavaliers,surgery to repair torn left Achilles tendon (out for season),Anderson Varejao,2014-12-26,2014,"['surgery', 'to', 'repair', 'torn', 'left', 'achilles', 'tendon', '(', 'out', 'for', 'season', ')']","['left', 'achilles', 'tendon']","['surgery', 'torn']",['season'],
5422,5586,2015-01-05,Lakers,strained right hip flexor (DTD),Wes Johnson,2015-01-05,2015,"['strained', 'right', 'hip', 'flexor', '(', 'dtd', ')']","['right', 'hip', 'flexor']",['strained'],['dtd'],
5447,5635,2015-01-14,76ers,sprained right ankle / knee (DTD),Tony Wroten Jr.,2015-01-14,2015,"['sprained', 'right', 'ankle', '/', 'knee', '(', 'dtd', ')']","['right', 'ankle', 'knee']",['sprained'],['dtd'],
5452,5642,2015-01-16,76ers,right leg injury (DTD),Malcolm Thomas ,2015-01-16,2015,"['right', 'leg', 'injury', '(', 'dtd', ')']","['right', 'leg']",['injury'],['dtd'],
5462,5660,2015-01-17,Hawks,ankle injury (DTD),Dennis Schroder,2015-01-17,2015,"['ankle', 'injury', '(', 'dtd', ')']",['ankle'],['injury'],['dtd'],
5475,5685,2015-01-23,Nets,blood clots in lungs (out indefinitely),Mirza Teletovic,2015-01-23,2015,"['blood', 'clots', 'in', 'lungs', '(', 'out', 'indefinitely', ')']","['blood', 'lungs']",['clots'],['indefinitely'],
5489,5708,2015-01-27,Grizzlies,sprained left wrist (DTD),Mike Conley Jr.,2015-01-27,2015,"['sprained', 'left', 'wrist', '(', 'dtd', ')']","['left', 'wrist']",['sprained'],['dtd'],
5501,5725,2015-01-29,Bucks,groin injury (DTD),Ersan Ilyasova,2015-01-29,2015,"['groin', 'injury', '(', 'dtd', ')']",['groin'],['injury'],['dtd'],
5518,5755,2015-02-05,Wizards,sprained right ankle (DTD),Kevin Seraphin,2015-02-05,2015,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
5520,5758,2015-02-06,Clippers,stomach virus (DTD),Hedo Turkoglu,2015-02-06,2015,"['stomach', 'virus', '(', 'dtd', ')']",['stomach'],['virus'],['dtd'],
5544,5803,2015-02-20,Bucks,illness (DTD),Ersan Ilyasova,2015-02-20,2015,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],
5548,5817,2015-02-20,Wizards,flu (DTD),Kevin Seraphin,2015-02-20,2015,"['flu', '(', 'dtd', ')']",[],['flu'],['dtd'],
5558,5834,2015-02-23,Nets,sprained left ankle (DTD),Bojan Bogdanovic,2015-02-23,2015,"['sprained', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sprained'],['dtd'],
5575,5859,2015-02-27,Knicks,sore/strained left Achilles (out for season),Jose Calderon,2015-02-27,2015,"['sore/strained', 'left', 'achilles', '(', 'out', 'for', 'season', ')']","['left', 'achilles']",[],['season'],
5577,5863,2015-02-27,Nuggets,sprained right ankle (DTD),Jusuf Nurkic,2015-02-27,2015,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
5592,5888,2015-03-02,Timberwolves,ankle injury (DTD),Nikola Pekovic,2015-03-02,2015,"['ankle', 'injury', '(', 'dtd', ')']",['ankle'],['injury'],['dtd'],
5600,5906,2015-03-06,Blazers,torn left Achilles tendon (out for season),Wes Matthews Jr.,2015-03-06,2015,"['torn', 'left', 'achilles', 'tendon', '(', 'out', 'for', 'season', ')']","['left', 'achilles', 'tendon']",['torn'],['season'],
5604,5910,2015-03-06,Magic,sore left ankle (DTD),Nikola Vucevic,2015-03-06,2015,"['sore', 'left', 'ankle', '(', 'dtd', ')']","['left', 'ankle']",['sore'],['dtd'],
5607,5916,2015-03-07,Hawks,ankle injury (DTD),Pero Antic,2015-03-07,2015,"['ankle', 'injury', '(', 'dtd', ')']",['ankle'],['injury'],['dtd'],
5608,5917,2015-03-07,Heat,back injury (DTD),Goran Dragic,2015-03-07,2015,"['back', 'injury', '(', 'dtd', ')']",['back'],['injury'],['dtd'],
5615,5929,2015-03-09,Knicks,lower back spasms (DTD),Tim Hardaway Jr.,2015-03-09,2015,"['lower', 'back', 'spasms', '(', 'dtd', ')']",['back'],['spasms'],['dtd'],
5624,5947,2015-03-12,Grizzlies,ankle injury (DTD),Mike Conley Jr.,2015-03-12,2015,"['ankle', 'injury', '(', 'dtd', ')']",['ankle'],['injury'],['dtd'],
5634,5962,2015-03-13,Timberwolves,sprained right ankle (out for season),Nikola Pekovic,2015-03-13,2015,"['sprained', 'right', 'ankle', '(', 'out', 'for', 'season', ')']","['right', 'ankle']",['sprained'],['season'],
5638,5966,2015-03-13,Warriors,shoulder injury (DTD),Ognen Kuzmic,2015-03-13,2015,"['shoulder', 'injury', '(', 'dtd', ')']",['shoulder'],['injury'],['dtd'],
5658,6004,2015-03-16,Spurs,sprained right ankle (DTD),Manu Ginobili,2015-03-16,2015,"['sprained', 'right', 'ankle', '(', 'dtd', ')']","['right', 'ankle']",['sprained'],['dtd'],
5663,6011,2015-03-17,Knicks,sprained right wrist (DTD),Tim Hardaway Jr.,2015-03-17,2015,"['sprained', 'right', 'wrist', '(', 'dtd', ')']","['right', 'wrist']",['sprained'],['dtd'],
